City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
146,Majene,ID,-3.5403,118.9707,77.58,79,100,5.17,light rain
147,Srinagar,IN,34.0833,74.8167,28.36,31,0,3.49,clear sky
148,Belaya Gora,RU,68.5333,146.4167,-47.6,100,94,1.19,overcast clouds
149,Boa Vista,BR,2.8197,-60.6733,91.38,49,75,8.05,broken clouds
150,Brosteni,RO,47.2333,25.7,27.41,97,100,3.47,overcast clouds
151,Kloulklubed,PW,7.0419,134.2556,75.7,87,100,8.23,moderate rain
152,Zhezkazgan,KZ,47.8043,67.7144,12.47,91,100,10.94,overcast clouds
153,Gornopravdinsk,RU,60.05,69.9,-8.59,99,96,6.08,overcast clouds
154,Kalanchak,UA,46.2562,33.2907,27.82,82,100,5.17,overcast clouds
155,Itigi,TZ,-5.7,34.4833,68.14,61,22,2.04,few clouds
156,Provost,CA,52.3501,-110.2683,-16.15,93,39,6.93,scattered clouds
157,Morros,BR,-9.4467,-46.3003,77.2,83,70,5.28,broken clouds
158,Lafia,NG,8.4833,8.5167,85.93,18,100,4.09,overcast clouds
159,Neapolis,IT,40.8333,14.25,57.74,86,20,3.44,few clouds
160,Kasama,ZM,-10.2129,31.1808,71.8,38,65,2.51,broken clouds
161,Hay River,CA,60.8156,-115.7999,-25.62,68,75,3.44,broken clouds
162,Bilma,NE,18.6853,12.9164,65.61,17,14,6.4,few clouds
163,East London,ZA,-33.0153,27.9116,67.26,81,100,4.56,overcast clouds
164,Dunn,US,44.95,-91.8835,10.35,69,6,5.75,clear sky
165,Ocala,US,29.1872,-82.1401,82.96,63,75,1.01,broken clouds
166,Lalganj,IN,25.8667,85.1833,57.15,84,50,5.44,scattered clouds
167,Tiksi,RU,71.6872,128.8694,-20.51,100,100,4.16,overcast clouds
168,Sakaiminato,JP,35.55,133.2333,42.78,87,75,13.8,broken clouds
169,Saint George,US,37.1041,-113.5841,46.8,50,20,1.99,few clouds
170,Jatara,IN,25.0167,79.05,54.63,78,0,3.38,clear sky
171,Vanimo,PG,-2.6741,141.3028,77.31,90,100,6.93,light rain
172,Norman Wells,CA,65.282,-126.8329,-9.36,70,75,4.61,broken clouds
173,Syamzha,RU,60.0158,41.0614,12.72,94,100,8.55,overcast clouds
174,Caravelas,BR,-17.7125,-39.2481,80.2,74,21,8.37,few clouds
175,Liepaja,LV,56.5419,21.0367,23.05,100,90,6.91,light snow
176,Ponta Do Sol,PT,32.6667,-17.1,66.83,83,3,7.05,clear sky
177,Marzuq,YE,14.4,46.4667,60.6,73,7,6.49,clear sky
178,Otukpo,NG,7.1913,8.1329,81.68,19,98,1.9,overcast clouds
179,Cairns,AU,-16.9167,145.7667,78.06,94,90,4.61,overcast clouds
180,Banjar,ID,-8.19,114.9675,78.66,89,100,3.94,overcast clouds
181,Luderitz,NA,-26.6481,15.1594,64.76,76,0,18.43,clear sky
182,Hasaki,JP,35.7333,140.8333,27.0,63,2,19.8,clear sky
183,Bambous Virieux,MU,-20.3428,57.7575,77.25,78,75,11.5,light rain
184,Luena,AO,-11.7833,19.9167,64.81,77,99,3.0,overcast clouds
185,Blythe,US,33.6103,-114.5964,58.03,39,10,13.78,clear sky
186,Codrington,AU,-38.2667,141.9667,49.32,92,58,6.2,broken clouds
187,Zyryanka,RU,65.75,150.85,-26.7,95,100,15.28,overcast clouds
188,Champerico,GT,14.3,-91.9167,87.76,55,6,10.42,clear sky
189,Aviles,ES,43.5547,-5.9248,59.38,84,0,4.61,clear sky
190,Zhigansk,RU,66.7697,123.3711,-45.78,99,65,6.06,broken clouds
191,Talnakh,RU,69.4865,88.3972,1.2,97,100,6.26,overcast clouds
192,Lata,PT,40.1629,-8.3327,58.82,94,7,3.13,clear sky
193,Keflavik,IS,64.0049,-22.5624,30.87,64,75,24.16,broken clouds
194,Qui Nhon,VN,13.7667,109.2333,75.2,85,97,19.17,overcast clouds
195,Olafsvik,IS,64.8945,-23.7142,29.44,69,22,36.6,few clouds
196,Port Moresby,PG,-9.4431,147.1797,78.22,83,75,11.5,broken clouds
197,Krasnoselkup,RU,65.7,82.4667,-3.86,99,100,7.27,overcast clouds
198,Acuitzio,MX,20.345,-101.9771,75.88,27,1,5.23,clear sky
199,Dingle,PH,10.9995,122.6711,73.89,90,99,11.03,overcast clouds
200,Praia,CV,14.9215,-23.5087,82.94,30,0,12.66,clear sky
201,Kurilsk,RU,45.2333,147.8833,31.95,95,100,20.98,snow
202,Cabinda,AO,-5.55,12.2,77.63,91,87,5.91,overcast clouds
203,Machinga,MW,-15.1685,35.3,80.96,37,88,4.54,overcast clouds
204,Dondo,MZ,-19.6094,34.7431,76.51,92,100,2.89,overcast clouds
205,San Juan,AR,-31.5375,-68.5364,97.97,19,0,12.24,clear sky
206,Port Macquarie,AU,-31.4333,152.9167,61.9,71,90,2.73,overcast clouds
207,San Quintin,MX,30.4833,-115.95,59.2,63,98,5.44,overcast clouds
208,Kingsville,US,27.5159,-97.8561,81.01,64,75,4.61,haze
